Identifier,DataFile,Points,High point X,High point Y,High point elevation
2,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000002.lda,14833,412892.696,5280962.522,322.532013
3,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000003.lda,13019,412893.211,5280967.024,323.869995
4,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000004.lda,190,412889.826,5280961.505,319.320007
5,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000005.lda,2247,412893.797,5280953.89,316.265015
6,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000006.lda,29702,412900.161,5280968.731,322.273987
7,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000007.lda,22107,412899.537,5280952.107,314.602997
8,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000008.lda,81,412889.633,5280966.361,313.076996
9,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000009.lda,785,412890.731,5280959.479,316.869995
10,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000010.lda,4229,413037.094,5281104.224,329.882996
11,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000011.lda,16832,412900.387,5280961.174,317.102997
12,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000012.lda,7779,412897.445,5280963.324,316.55899
13,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000013.lda,185,412894.674,5280950.882,308.214996
14,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000014.lda,42567,412909.258,5280971.033,319.78299
15,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000015.lda,94,412901.8,5280935.456,299.466003
16,E:\T3_DroneLidar\Ba\Plot37\Processing\Trees\TAOpts\trees_Clip_0000016.lda,24117,412906.949,5280975.219,321.084015
